ID,Time1,Time2,Time3,Time4,Time5,Time6
A30,18.01349798,21.50834051,44.06519578,58.64955431,76.39728523,89.03306638
A31,24.38870028,32.66494454,37.47425637,49.45097822,88.40751293,123.0020693
A32,19.15880239,23.51262323,36.63845484,60.55384902,85.2457218,90.4646969
A33,17.52657679,28.65622842,40.17202308,58.65205145,87.83162164,88.42441489
A34,19.81346627,24.65828502,33.07565117,66.37135762,78.49953161,91.28302674
A35,24.82612971,33.43044604,38.96293735,51.45980376,74.00281668,117.548856
A36,26.30641505,32.52094538,34.28496291,48.90149682,87.87652256,96.89921271
A37,22.73252777,29.76664264,44.41582365,64.24446658,77.06306737,94.93185361
A38,17.31415503,38.03449034,39.3619187,62.00355457,74.67723405,111.4088877
A39,25.14425873,33.98717182,27.15321472,54.04868565,82.34908264,97.94651732
A40,22.43574691,29.24727614,36.57882533,60.33721803,78.48473209,94.56087754
A41,17.85834426,39.9868215,43.26625011,47.38629058,81.37713989,85.08912423
A42,21.54262871,27.6843193,27.04008464,56.76710969,85.12204217,93.4444798
A43,24.94323668,28.38538324,34.97814847,62.60582463,74.95119024,79.94523976
A44,19.50337842,24.11563127,48.33183183,58.89188487,83.71642365,90.89541692
A45,18.3670097,26.12698601,33.35320299,63.62541415,87.26697499,89.47495602
A46,23.78391793,22.84371857,42.36295658,54.89955358,85.77081415,99.73894772
A47,26.35884161,29.85390518,41.51280396,62.21324084,93.17779408,94.83998515
A48,21.87768525,24.54331019,38.55049122,57.87904451,81.00838559,93.30532983
A49,22.61102022,31.17987694,46.01716117,55.26442769,79.77705228,91.32488933
A50,17.21504409,33.98417527,29.22520891,57.55503929,88.87314956,89.42995387
B1,25.55883544,34.91128452,44.5300343,57.77975175,91.02772701,103.0559751
B2,16.32893756,25.10522598,34.72397576,68.18924716,102.0128252,97.17233994
B3,18.69671195,34.04480297,41.66355275,62.99229268,94.30358658,93.33608613
B4,20.98360144,26.33272075,55.95147053,59.62552418,85.68656356,97.9088368
B5,33.99626487,35.7314647,45.35021448,55.14440772,122.8354111,103.5480832
B6,25.47655021,34.7569997,34.37574948,68.54389463,87.15501353,122.9634042
